,hPos,aPos,unixTime,Distance
409,"{'x': -0.007509331218898296, 'y': -0.03102480247616768, 'z': 0.04587029665708542}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291636,0.5587687579083656
410,"{'x': -0.008154785260558128, 'y': -0.03064926713705063, 'z': 0.04714416712522507}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291726,0.557474208209811
411,"{'x': -0.008559019304811954, 'y': -0.03115697391331196, 'z': 0.049160249531269073}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291835,0.5554849156114827
412,"{'x': -0.009055075235664845, 'y': -0.032820042222738266, 'z': 0.05023954063653946}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088291925,0.5544936301432145
413,"{'x': -0.010472451336681843, 'y': -0.03264731168746948, 'z': 0.050803884863853455}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292035,0.5539183434661082
414,"{'x': -0.011650294065475464, 'y': -0.03234289586544037, 'z': 0.051854588091373444}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292135,0.5528534978309368
415,"{'x': -0.012004349380731583, 'y': -0.032565582543611526, 'z': 0.05232025682926178}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292225,0.5524012817245597
416,"{'x': -0.010427727364003658, 'y': -0.030476583167910576, 'z': 0.05069390684366226}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292335,0.5539145591655931
417,"{'x': -0.007400195114314556, 'y': -0.028725607320666313, 'z': 0.047615595161914825}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292425,0.5569136616137217
418,"{'x': -0.004687725566327572, 'y': -0.02681703306734562, 'z': 0.04120790213346481}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292555,0.5632512385517018
419,"{'x': -0.005262854974716902, 'y': -0.025885866954922676, 'z': 0.03737678378820419}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292647,0.5670337540002642
420,"{'x': -0.005867918953299522, 'y': -0.02627727948129177, 'z': 0.03538910299539566}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292745,0.5690303905730542
421,"{'x': -0.004778116010129452, 'y': -0.02689048834145069, 'z': 0.03423330932855606}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292846,0.5702212346560439
422,"{'x': -0.002736268565058708, 'y': -0.02697509154677391, 'z': 0.03324811905622482}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088292946,0.5712338801144337
423,"{'x': -0.0015371929621323943, 'y': -0.026313578709959984, 'z': 0.03256646543741226}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293045,0.5719049355989583
424,"{'x': -0.0002803327515721321, 'y': -0.02568703517317772, 'z': 0.0315280482172966}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293145,0.572938164225678
425,"{'x': 0.00017032818868756294, 'y': -0.024786943569779396, 'z': 0.030867263674736023}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293266,0.5735710846458587
426,"{'x': -0.0005840708035975695, 'y': -0.02407953515648842, 'z': 0.03198084980249405}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293365,0.5724176933291788
427,"{'x': -0.0009913693647831678, 'y': -0.02430286630988121, 'z': 0.034418538212776184}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293465,0.5699835112362686
428,"{'x': -0.0021003452129662037, 'y': -0.025146212428808212, 'z': 0.0358048677444458}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293576,0.5686134178703128
429,"{'x': -0.0034831904340535402, 'y': -0.024564914405345917, 'z': 0.03580058366060257}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293686,0.5685756932471123
430,"{'x': -0.004712511785328388, 'y': -0.02413136325776577, 'z': 0.03577640652656555}","{'x': -0.010693594813346863, 'y': -0.002566121518611908, 'z': 0.6039047837257385}",1653088293786,0.5685689808496608
